DATE_PST,DATE,TIME,STATION_NAME,STATION_NAME_FULL,O3,O3_OK,REGION
2019-02-15 12:00,2019-02-15,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-02-16 12:00,2019-02-16,12:00,Victoria Topaz,VICTORIA TOPAZ,32,31.8,01 - Vancouver Island
2019-02-17 12:00,2019-02-17,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.1,01 - Vancouver Island
2019-02-18 12:00,2019-02-18,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.1,01 - Vancouver Island
2019-02-19 12:00,2019-02-19,12:00,Victoria Topaz,VICTORIA TOPAZ,17,16.3,01 - Vancouver Island
2019-02-20 12:00,2019-02-20,12:00,Victoria Topaz,VICTORIA TOPAZ,25,24.2,01 - Vancouver Island
2019-02-21 12:00,2019-02-21,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.1,01 - Vancouver Island
2019-02-22 12:00,2019-02-22,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.4,01 - Vancouver Island
2019-02-23 12:00,2019-02-23,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.3,01 - Vancouver Island
2019-02-24 12:00,2019-02-24,12:00,Victoria Topaz,VICTORIA TOPAZ,39,38.3,01 - Vancouver Island
2019-02-25 12:00,2019-02-25,12:00,Victoria Topaz,VICTORIA TOPAZ,39,38.6,01 - Vancouver Island
2019-02-26 12:00,2019-02-26,12:00,Victoria Topaz,VICTORIA TOPAZ,40,39.3,01 - Vancouver Island
2019-02-27 12:00,2019-02-27,12:00,Victoria Topaz,VICTORIA TOPAZ,41,40.4,01 - Vancouver Island
2019-02-28 12:00,2019-02-28,12:00,Victoria Topaz,VICTORIA TOPAZ,35,34.2,01 - Vancouver Island
2019-03-01 12:00,2019-03-01,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.5,01 - Vancouver Island
2019-03-02 12:00,2019-03-02,12:00,Victoria Topaz,VICTORIA TOPAZ,41,40.9,01 - Vancouver Island
2019-03-03 12:00,2019-03-03,12:00,Victoria Topaz,VICTORIA TOPAZ,42,41.3,01 - Vancouver Island
2019-03-04 12:00,2019-03-04,12:00,Victoria Topaz,VICTORIA TOPAZ,43,42.2,01 - Vancouver Island
2019-03-05 12:00,2019-03-05,12:00,Victoria Topaz,VICTORIA TOPAZ,40,39.4,01 - Vancouver Island
2019-03-06 12:00,2019-03-06,12:00,Victoria Topaz,VICTORIA TOPAZ,35,34.9,01 - Vancouver Island
2019-03-07 12:00,2019-03-07,12:00,Victoria Topaz,VICTORIA TOPAZ,37,36.9,01 - Vancouver Island
2019-03-08 12:00,2019-03-08,12:00,Victoria Topaz,VICTORIA TOPAZ,34,33.7,01 - Vancouver Island
2019-03-09 12:00,2019-03-09,12:00,Victoria Topaz,VICTORIA TOPAZ,29,29,01 - Vancouver Island
2019-03-10 12:00,2019-03-10,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-03-11 12:00,2019-03-11,12:00,Victoria Topaz,VICTORIA TOPAZ,28,27.7,01 - Vancouver Island
2019-03-12 12:00,2019-03-12,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.5,01 - Vancouver Island
2019-03-13 12:00,2019-03-13,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.7,01 - Vancouver Island
2019-03-14 12:00,2019-03-14,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.8,01 - Vancouver Island
2019-03-15 12:00,2019-03-15,12:00,Victoria Topaz,VICTORIA TOPAZ,28,27.6,01 - Vancouver Island
2019-03-16 12:00,2019-03-16,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.1,01 - Vancouver Island
2019-03-17 12:00,2019-03-17,12:00,Victoria Topaz,VICTORIA TOPAZ,30,29.7,01 - Vancouver Island
2019-03-18 12:00,2019-03-18,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.4,01 - Vancouver Island
2019-03-19 12:00,2019-03-19,12:00,Victoria Topaz,VICTORIA TOPAZ,34,33.9,01 - Vancouver Island
2019-03-20 12:00,2019-03-20,12:00,Victoria Topaz,VICTORIA TOPAZ,43,42.4,01 - Vancouver Island
2019-03-21 12:00,2019-03-21,12:00,Victoria Topaz,VICTORIA TOPAZ,37,36.2,01 - Vancouver Island
2019-03-22 12:00,2019-03-22,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.6,01 - Vancouver Island
2019-03-23 12:00,2019-03-23,12:00,Victoria Topaz,VICTORIA TOPAZ,41,40.3,01 - Vancouver Island
2019-03-24 12:00,2019-03-24,12:00,Victoria Topaz,VICTORIA TOPAZ,29,29,01 - Vancouver Island
2019-03-25 12:00,2019-03-25,12:00,Victoria Topaz,VICTORIA TOPAZ,20,20,01 - Vancouver Island
2019-03-26 12:00,2019-03-26,12:00,Victoria Topaz,VICTORIA TOPAZ,39,38.6,01 - Vancouver Island
2019-03-27 12:00,2019-03-27,12:00,Victoria Topaz,VICTORIA TOPAZ,34,33.7,01 - Vancouver Island
2019-03-28 12:00,2019-03-28,12:00,Victoria Topaz,VICTORIA TOPAZ,39,39,01 - Vancouver Island
2019-03-29 12:00,2019-03-29,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.8,01 - Vancouver Island
2019-03-30 12:00,2019-03-30,12:00,Victoria Topaz,VICTORIA TOPAZ,22,21.3,01 - Vancouver Island
2019-03-31 12:00,2019-03-31,12:00,Victoria Topaz,VICTORIA TOPAZ,33,32.4,01 - Vancouver Island
2019-04-01 12:00,2019-04-01,12:00,Victoria Topaz,VICTORIA TOPAZ,39,38.8,01 - Vancouver Island
2019-04-02 12:00,2019-04-02,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-04-03 12:00,2019-04-03,12:00,Victoria Topaz,VICTORIA TOPAZ,20,19.2,01 - Vancouver Island
2019-04-04 12:00,2019-04-04,12:00,Victoria Topaz,VICTORIA TOPAZ,42,41.1,01 - Vancouver Island
2019-04-05 12:00,2019-04-05,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.3,01 - Vancouver Island
2019-04-06 12:00,2019-04-06,12:00,Victoria Topaz,VICTORIA TOPAZ,46,45.2,01 - Vancouver Island
2019-04-07 12:00,2019-04-07,12:00,Victoria Topaz,VICTORIA TOPAZ,46,45.5,01 - Vancouver Island
2019-04-08 12:00,2019-04-08,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.4,01 - Vancouver Island
2019-04-09 12:00,2019-04-09,12:00,Victoria Topaz,VICTORIA TOPAZ,32,31.2,01 - Vancouver Island
2019-04-10 12:00,2019-04-10,12:00,Victoria Topaz,VICTORIA TOPAZ,37,36.4,01 - Vancouver Island
2019-04-11 12:00,2019-04-11,12:00,Victoria Topaz,VICTORIA TOPAZ,42,41.1,01 - Vancouver Island
2019-04-12 12:00,2019-04-12,12:00,Victoria Topaz,VICTORIA TOPAZ,32,32,01 - Vancouver Island
2019-04-13 12:00,2019-04-13,12:00,Victoria Topaz,VICTORIA TOPAZ,31,30.2,01 - Vancouver Island
2019-04-14 12:00,2019-04-14,12:00,Victoria Topaz,VICTORIA TOPAZ,44,43.5,01 - Vancouver Island
2019-04-15 12:00,2019-04-15,12:00,Victoria Topaz,VICTORIA TOPAZ,48,47.3,01 - Vancouver Island
2019-04-16 12:00,2019-04-16,12:00,Victoria Topaz,VICTORIA TOPAZ,38,37.1,01 - Vancouver Island
2019-04-17 12:00,2019-04-17,12:00,Victoria Topaz,VICTORIA TOPAZ,37,36.5,01 - Vancouver Island
2019-04-18 12:00,2019-04-18,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.6,01 - Vancouver Island
2019-04-19 12:00,2019-04-19,12:00,Victoria Topaz,VICTORIA TOPAZ,44,43.7,01 - Vancouver Island
2019-04-20 12:00,2019-04-20,12:00,Victoria Topaz,VICTORIA TOPAZ,33,32.7,01 - Vancouver Island
2019-04-21 12:00,2019-04-21,12:00,Victoria Topaz,VICTORIA TOPAZ,41,40.9,01 - Vancouver Island
2019-04-22 12:00,2019-04-22,12:00,Victoria Topaz,VICTORIA TOPAZ,28,27.2,01 - Vancouver Island
2019-04-23 12:00,2019-04-23,12:00,Victoria Topaz,VICTORIA TOPAZ,39,38.7,01 - Vancouver Island
2019-04-24 12:00,2019-04-24,12:00,Victoria Topaz,VICTORIA TOPAZ,40,39.9,01 - Vancouver Island
2019-04-25 12:00,2019-04-25,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-04-26 12:00,2019-04-26,12:00,Victoria Topaz,VICTORIA TOPAZ,45,44.4,01 - Vancouver Island
2019-04-27 12:00,2019-04-27,12:00,Victoria Topaz,VICTORIA TOPAZ,37,36.5,01 - Vancouver Island
2019-04-28 12:00,2019-04-28,12:00,Victoria Topaz,VICTORIA TOPAZ,39,38.4,01 - Vancouver Island
2019-04-29 12:00,2019-04-29,12:00,Victoria Topaz,VICTORIA TOPAZ,41,40.7,01 - Vancouver Island
2019-04-30 12:00,2019-04-30,12:00,Victoria Topaz,VICTORIA TOPAZ,44,43.3,01 - Vancouver Island
2019-05-01 12:00,2019-05-01,12:00,Victoria Topaz,VICTORIA TOPAZ,37,36.5,01 - Vancouver Island
2019-05-02 12:00,2019-05-02,12:00,Victoria Topaz,VICTORIA TOPAZ,38,37.2,01 - Vancouver Island
2019-05-03 12:00,2019-05-03,12:00,Victoria Topaz,VICTORIA TOPAZ,27,26.3,01 - Vancouver Island
2019-05-04 12:00,2019-05-04,12:00,Victoria Topaz,VICTORIA TOPAZ,29,28.5,01 - Vancouver Island
2019-05-05 12:00,2019-05-05,12:00,Victoria Topaz,VICTORIA TOPAZ,35,34.9,01 - Vancouver Island
2019-05-06 12:00,2019-05-06,12:00,Victoria Topaz,VICTORIA TOPAZ,35,34.5,01 - Vancouver Island
2019-05-07 12:00,2019-05-07,12:00,Victoria Topaz,VICTORIA TOPAZ,28,27.5,01 - Vancouver Island
2019-05-08 12:00,2019-05-08,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.1,01 - Vancouver Island
2019-05-09 12:00,2019-05-09,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
2019-05-10 12:00,2019-05-10,12:00,Victoria Topaz,VICTORIA TOPAZ,42,41.5,01 - Vancouver Island
2019-05-11 12:00,2019-05-11,12:00,Victoria Topaz,VICTORIA TOPAZ,24,23.9,01 - Vancouver Island
2019-05-12 12:00,2019-05-12,12:00,Victoria Topaz,VICTORIA TOPAZ,26,25.8,01 - Vancouver Island
2019-05-13 12:00,2019-05-13,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.8,01 - Vancouver Island
2019-05-14 12:00,2019-05-14,12:00,Victoria Topaz,VICTORIA TOPAZ,33,32.2,01 - Vancouver Island
2019-05-15 12:00,2019-05-15,12:00,Victoria Topaz,VICTORIA TOPAZ,36,35.5,01 - Vancouver Island
2019-05-16 12:00,2019-05-16,12:00,Victoria Topaz,VICTORIA TOPAZ,21,20.8,01 - Vancouver Island
2019-05-17 12:00,2019-05-17,12:00,Victoria Topaz,VICTORIA TOPAZ,41,40.3,01 - Vancouver Island
2019-05-18 12:00,2019-05-18,12:00,Victoria Topaz,VICTORIA TOPAZ,0,,01 - Vancouver Island
